"placeholdersid";"placeholder";"number";"result_text";"placeholder_category";"mod_name"
"25614";"PROVIDER_PERM_ZIP";"N143";"$(relatedRecord : provider|zip|Providers)$";"";"Cases"
"25616";"PROVIDER_SUITNAME";"N145";"$(relatedRecord : provider|provider_name|Providers)$";"";"Cases"
"25617";"PROVIDER_TAXID";"N146";"$(relatedRecord : provider|tax_id|Providers)$";"";"Cases"
"25637";"SETTLEMENT_AF";"N166";"$(record : settlement_af)$";"";"Cases"
"25638";"SETTLEMENT_AMOUNT";"N167";"$(record : settlement_amount)$";"";"Cases"
"25639";"SETTLEMENT_CONFERENCE_DATE";"N168";"$(record : pretrial_conf_date|format=F j, Y)$";"";"Cases"
"25640";"SETTLEMENT_DATE";"N169";"$(record : settlement_date|format=F j, Y)$";"";"Cases"
"25641";"SETTLEMENT_FF";"N170";"$(record : sett_ff)$";"";"Cases"
"25642";"SETTLEMENT_INT";"N171";"$(record : interest_amount_settled)$";"";"Cases"
"25643";"SETTLEMENT_TOTAL";"N172";"$(record : settlement_amount)$";"";"Cases"
"25644";"TODAY_DATE";"N173";"$(general : CurrentDate|format=F j, Y)$";"";"Cases"
"25645";"TRANSACTIONS_AMOUNT_AF";"N174";"$(record : attorney_fee)$";"";"Cases"
"25646";"TRANSACTIONS_AMOUNT_COLLECTED";"N175";"$(record : total_collections)$";"";"Cases"
"25647";"TRANSACTIONS_AMOUNT_INT";"N176";"$(record : interest_amount_settled)$";"";"Cases"
"26218";"CAUSE_OF_LOSS";"N180";"$(record : cause_of_loss)$";"";"Cases"
"26236";"PTC_DATE";"PLCHLDR_000181";"$(record : pretrial_conf_date|format=F j, Y)$";"";"Cases"
"26237";"SERVICE_TYPE";"PLCHLDR_000182";"$(record : types_of_services)$";"";"Cases"
"28893";"MP_AGREEMENT_DATE";"PLCHLDR_000183";"$(record : master_purchase_agreement_date|format=F j, Y)$";"";"Providers"
"28894";"PROVIDER_NAME";"PLCHLDR_000184";"$(record : provider_name)$";"";"Providers"
"28902";"DATE_MPA_SIGNED";"PLCHLDR_000185";"$(relatedRecord : provider|master_purchase_agreement_date|Providers|format=F j, Y)$";"";"PortfolioPurchases"
"28904";"DATE_AGREEMENT_SENT";"PLCHLDR_000187";"$(record : purchase_date|format=F j, Y)$";"";"PortfolioPurchases"
"28906";"PF_PROVIDER_NAME";"PLCHLDR_000188";"$(relatedRecord : provider|provider_name|Providers)$";"";"PortfolioPurchases"
"28907";"PF_TOTAL_CLAIM_VALUE";"PLCHLDR_000189";"$(record : total_claim_value)$";"";"PortfolioPurchases"
"28908";"PF_ADJ_CLAIM_VALUE";"PLCHLDR_000190";"$(record : adjusted_claim_value)$";"";"PortfolioPurchases"
"28909";"PF_PURCHASE_PRICE_PCT";"PLCHLDR_000191";"$(relatedRecord : program|purchase_price_perc|Programs)$";"";"PortfolioPurchases"
"28910";"PF_PURCHASE_VALUE";"PLCHLDR_000192";"$(record : purchase_value)$";"";"PortfolioPurchases"
"28911";"PF_FACTOR_FEE_PCT";"PLCHLDR_000193";"$(relatedRecord : program|factor_fee_perc|Programs)$";"";"PortfolioPurchases"
"28912";"PF_BUYBACK_CLEARANCE";"PLCHLDR_000194";"$(record : buyback_clearance)$";"";"PortfolioPurchases"
"28913";"PROJECTED_REFUNDABLE_RESERVE";"PLCHLDR_000195";"$(record : projected_refundable_reserve)$";"";"PortfolioPurchases"
"28914";"PF_CASH_TO_SELLER";"PLCHLDR_000196";"$(record : cash_to_seller)$";"";"PortfolioPurchases"
"28915";"PF_INVESTOR_NAME";"PLCHLDR_000197";"$(relatedRecord : investor|investor_name|Investors)$";"";"PortfolioPurchases"
"62816";"CASEID";"PLCHLDR_000198";"$(record : case_id)$";"";"Cases"
"63200";"CORPORATE_REPRESENTATIVE";"PLCHLDR_000199";"$(record : corporate_representative)$";"";"Cases"
"63201";"ENGINEER";"PLCHLDR_000200";"$(record : engineer)$";"";"Cases"
"63202";"INSURANCE_EXPERT";"PLCHLDR_000201";"$(record : insurance_expert)$";"";"Cases"
"63203";"PRICING_EXPERT";"PLCHLDR_000202";"$(record : pricing_expert)$";"";"Cases"
"63204";"PUBLIC_ADJUSTER";"PLCHLDR_000203";"$(record : public_adjuster)$";"";"Cases"
"63205";"INDOOR_ENVIRONMENTAL_PROFESSIONAL";"PLCHLDR_000204";"$(record : indoor_environmental_professio)$";"";"Cases"
"63206";"INSPECTOR";"PLCHLDR_000205";"$(record : inspector)$";"";"Cases"
"63207";"CORPORATE_REPRESENTATIVE";"PLCHLDR_000206";"$(record : corporate_representative)$";"";"Providers"
"63208";"ENGINEER";"PLCHLDR_000207";"$(record : engineer)$";"";"Providers"
"63209";"INSURANCE_EXPERT";"PLCHLDR_000208";"$(record : insurance_expert)$";"";"Providers"
"63210";"PRICING_EXPERT";"PLCHLDR_000209";"$(record : pricing_expert)$";"";"Providers"
"63211";"PUBLIC_ADJUSTER";"PLCHLDR_000210";"$(record : public_adjuster)$";"";"Providers"
"63212";"INDOOR_ENVIRONMENTAL_PROFESSIONAL";"PLCHLDR_000211";"$(record : indoor_environmental_professio)$";"";"Providers"
"63213";"INSPECTOR";"PLCHLDR_000212";"$(record : inspector)$";"";"Providers"
"63584";"PF_WIRE_FEES";"PLCHLDR_000214";"$(record : wire_fees)$";"";"PortfolioPurchases"
"152184";"PROVIDER_INVESTOR";"PLCHLDR_000215";"$(record : investor)$";"";"Providers"
"156539";"PURCHASE_ADDENDUM_DATE";"PLCHLDR_000216";"$(record : addendum_date|format=F j, Y)$";"";"PortfolioPurchases"
"166148";"PROVIDER_STATE";"PLCHLDR_000217";"$(record : state)$";"";"Providers"
"166149";"PROVIDER_APPLICABLE_STATES";"PLCHLDR_000218";"$(record : applicable_states)$";"";"Providers"
"168425";"PA_EMAIL";"PLCHLDR_000220";"$(relatedRecord : public_adjuster|email|Adjusters)$";"Email Address";"Cases"
"168441";"PUBLIC_ADJUSTER_EMAIL";"PLCHLDR_000222";"$(relatedRecord : public_adjuster|email|Adjusters)$";"Email Address";"Cases"
"168456";"PA_PHONE";"PLCHLDR_000223";"$(relatedRecord : public_adjuster|phone|Adjusters)$ $(relatedRecord : public_adjuster|phone_extra|Adjusters)$";"";"Cases"
"168457";"PUBLIC_ADJUSTER_PHONE";"PLCHLDR_000224";"$(relatedRecord : public_adjuster|phone|Adjusters)$ $(relatedRecord : public_adjuster|phone_extra|Adjusters)$";"";"Cases"
"168458";"PA_FAX";"PLCHLDR_000225";"$(relatedRecord : public_adjuster|fax|Adjusters)$";"";"Cases"
"168459";"PUBLIC_ADJUSTER_FAX";"PLCHLDR_000226";"$(relatedRecord : public_adjuster|fax|Adjusters)$";"";"Cases"
"168460";"PA_NAME";"PLCHLDR_000227";"$(relatedRecord : public_adjuster|adjuster_name|Adjusters)$";"";"Cases"
"168461";"PUBLIC_ADJUSTER_NAME";"PLCHLDR_000228";"$(relatedRecord : public_adjuster|adjuster_name|Adjusters)$";"";"Cases"
"168462";"PA";"PLCHLDR_000229";"$(record : public_adjuster)$";"";"Cases"
"168483";"PROVIDER_EMAIL";"PLCHLDR_000230";"$(relatedRecord : provider|email|Providers)$";"Email Address";"Cases"
"168896";"depositions@flinslaw.com";"PLCHLDR_000231";"Depositions@flinslaw.com";"Email Address";"Cases"
"169050";"NEW_PROVIDER_DISTRIBUTION_LIST";"PLCHLDR_000234";"akutowska.kutowska@dotsystems.pl";"Email Address";"Providers"
"169063";"DOCUMENT_ACCEPTED_REJECTED_DISTR_LIST";"PLCHLDR_000235";"akutowska@dotsystems.pl";"Email Address";"Providers"
"169335";"intake@flinslaw.com";"PLCHLDR_000236";"INTAKE";"Email Address";"Cases"
"169446";"Jesse@claimpay.net";"PLCHLDR_000237";"Jesse@claimpay.net";"";"Cases"
"171144";"CASE_ID";"PLCHLDR_000238";"$(relatedRecord : case|case_id|Cases)$";"";"Documents"
"172967";"ROBERT_GONZALES";"PLCHLDR_000239";"akutowska.kutowska@dotsystems.pl";"Email Address";"Cases"
"173053";"PROVIDER_SUITNAME2";"PLCHLDR_000240";"$(relatedRecord : provider_2|provider_name|Providers)$";"";"Cases"
"173054";"PROVIDER_SUITNAME3";"PLCHLDR_000241";"$(relatedRecord : provider_3|provider_name|Providers)$";"";"Cases"
"176024";"PROVIDER_SUITNAME4";"PLCHLDR_000243";"$(relatedRecord : provider_4|provider_name|Providers)$";"";"Cases"
"176028";"PROVIDER_SUITNAME5";"PLCHLDR_000244";"$(relatedRecord : provider_5|provider_name|Providers)$";"";"Cases"
"176137";"TOTAL_BALANCE_AMOUNT";"PLCHLDR_000245";"$(record : total_balance)$";"";"Cases"
"176365";"PFS_AMOUNT";"PLCHLDR_000246";"$(record : pfs_amount)$";"";"Cases"
"177542";"PROVIDER_EMAIL";"PLCHLDR_000247";"$(relatedRecord : provider|email|Providers)$";"Email Address";"PortfolioPurchases"
"178175";"PROVIDER_EMAIL";"PLCHLDR_000248";"$(relatedRecord : provider|email|Providers)$";"Email Address";"Claims"
"178296";"PROVIDER_EMAIL";"PLCHLDR_000249";"$(relatedRecord : provider|email|Providers)$";"Email Address";"Portfolios"
"178443";"CASE_MANAGER";"PLCHLDR_000250";"$(relatedRecord : case_manager|first_name|Users)$ $(relatedRecord : case_manager|last_name|Users)$";"";"Cases"
"203162";"OPPOSING_COUNSEL_EMAILS";"PLCHLDR_000253";"$(relatedRecord : opposing_counsel|emails_text|Attorneys)$";"Email Address";"Cases"
"205804";"INSURANCE_EMAIL";"PLCHLDR_000254";"$(relatedRecord : insurance_company|email|InsuranceCompanies)$";"Email Address";"Cases"
"205825";"DEMAND_AMOUNT";"PLCHLDR_000255";"$(record : global_demand)$";"";"Cases"
"213202";"MORTGAGECO_NAME";"PLCHLDR_000256";"$(record : mortgage_company)$";"";"Cases"
"213203";"MORTGAGECO_STREET";"PLCHLDR_000257";"$(relatedRecord : mortgage_company|street|MortgageCompanies)$";"";"Cases"
"213204";"MORTGAGECO_CITY";"PLCHLDR_000258";"$(relatedRecord : mortgage_company|city|MortgageCompanies)$";"";"Cases"
"213205";"MORTGAGECO_STATE";"PLCHLDR_000259";"$(relatedRecord : mortgage_company|state|MortgageCompanies)$";"";"Cases"
"213206";"MORTGAGECO_ZIP";"PLCHLDR_000260";"$(relatedRecord : mortgage_company|zip|MortgageCompanies)$";"";"Cases"
"213515";"CASE_MANAGER_EMAIL";"PLCHLDR_000261";"$(relatedRecord : case_manager|email1|Users)$";"Email Address";"Cases"
"226097";"Batch_Error_Resipients_Claim_Management";"PLCHLDR_000262";"akutowska@dotsystems.pl";"Email Address";"BatchErrors"
"226098";"Batch_Error_Resipients_Litigation";"PLCHLDR_000263";"agnieszka.kutowska@gmail.com";"Email Address";"BatchErrors"
"246873";"INSURANCE_EMAIL_2";"PLCHLDR_000266";"$(coalesce : "record : insurance_company_email","LBL_INTAKE_EMAIL")$";"Email Address";"Cases"
"290443";"CLIENT_EMAIL_or_intake@flinslaw.com";"PLCHLDR_000267";"$(coalesce : "relatedRecord : insured|e_mail|Insureds","translate : Placeholders|LBL_INTAKE_EMAIL")$";"Email Address";"Cases"
"292901";"CLIENT_EMAIL_or_intake@flinslaw.com_ver2";"PLCHLDR_000268";"$(coalesce : "relatedRecord : insured|e_mail|Insureds","translate : akutowska@dotsystems.pl")$";"Email Address";"Cases"
"292994";"HO_ATTORNEY_NAME";"PLCHLDR_000269";"$(record : ho_attorney)$";"";"OutsideCases"
"295937";"FILE_NAME";"PLCHLDR_000270";"$(record : filename)$";"";"Documents"
"307397";"INSURANCE_COMPANY";"PLCHLDR_000271";"$(relatedRecord : insurance_company|insurance_company_name|InsuranceCompanies)$";"";"Documents"
"352358";"ATTORNEY_EMAIL";"PLCHLDR_000272";"$(record : email)$";"Email Address";"Attorneys"
"354485";"LEAD_EMAIL";"PLCHLDR_000273";"$(record : email)$";"Email Address";"LeadsDOT"
"354501";"PROVIDER_EMAIL";"PLCHLDR_000274";"$(record : email)$";"Email Address";"Providers"
"355118";"LAWFIRM_EMAIL";"PLCHLDR_000275";"$(record : email)$";"Email Address";"LawFirms"
"356133";"PROVIDER_SEC_EMAIL";"PLCHLDR_000276";"$(record : secondary_email)$";"Email Address";"Providers"
"356227";"ClaimPay";"PLCHLDR_000277";"akutowska@dotsystems.pl";"Email Address";"Providers"
"357117";"ACCIDENT_DATE";"PLCHLDR_000278";"$(record : date_of_loss|format=F j, Y)$";"";"TexasCases"
"357118";"ADJUSTER_EMAIL";"PLCHLDR_000279";"$(relatedRecord : adjuster|email|Adjusters)$";"Email Address";"TexasCases"
"357119";"ADJUSTER_FAX";"PLCHLDR_000280";"$(relatedRecord : adjuster|fax|Adjusters)$";"";"TexasCases"
"357120";"ADJUSTER_NAME";"PLCHLDR_000281";"$(relatedRecord : adjuster|adjuster_name|Adjusters)$";"";"TexasCases"
"357121";"ADJUSTER_PHONE";"PLCHLDR_000282";"$(relatedRecord : adjuster|phone|Adjusters)$ $(relatedRecord : adjuster|phone_extra|Adjusters)$";"";"TexasCases"
"357122";"ATTORNEY_ADDRESS";"PLCHLDR_000283";"$(relatedRecord : attorney|street|Attorneys)$";"";"TexasCases"
"357123";"ATTORNEY_CITY";"PLCHLDR_000284";"$(relatedRecord : attorney|city|Attorneys)$";"";"TexasCases"
"357124";"ATTORNEY_EMAIL";"PLCHLDR_000285";"$(relatedRecord : attorney|email|Attorneys)$";"Email Address";"TexasCases"
"357125";"ATTORNEY_FAX";"PLCHLDR_000286";"$(relatedRecord : attorney|fax|Attorneys)$";"";"TexasCases"
"357126";"ATTORNEY_FIRSTNAME";"PLCHLDR_000287";"$(relatedRecord : attorney|first_name|Attorneys)$";"";"TexasCases"
"357127";"ATTORNEY_LASTNAME";"PLCHLDR_000288";"$(relatedRecord : attorney|last_name|Attorneys)$";"";"TexasCases"
"357128";"ATTORNEY_NAME";"PLCHLDR_000289";"$(relatedRecord : attorney|attorney_name|Attorneys)$";"";"TexasCases"
"357129";"ATTORNEY_PHONE";"PLCHLDR_000290";"$(relatedRecord : attorney|phone|Attorneys)$";"";"TexasCases"
"357130";"ATTORNEY_STATE";"PLCHLDR_000291";"$(relatedRecord : attorney|state|Attorneys)$";"";"TexasCases"
"357131";"ATTORNEY_ZIP";"PLCHLDR_000292";"$(relatedRecord : attorney|zip|Attorneys)$";"";"TexasCases"
"357132";"BALANCE_AMOUNT";"PLCHLDR_000293";"$(record : total_balance)$";"";"TexasCases"
"357133";"CASE_ID";"PLCHLDR_000294";"$(record : case_id)$";"";"TexasCases"
"357134";"CLAIM_AMOUNT";"PLCHLDR_000295";"$(record : total_bill_amount)$";"";"TexasCases"
"357135";"CLIENT_BILLING_ADDRESS";"PLCHLDR_000296";"$(relatedRecord : insured|street|Insureds)$";"";"TexasCases"
"357136";"CLIENT_BILLING_CITY";"PLCHLDR_000297";"$(relatedRecord : insured|city|Insureds)$";"";"TexasCases"
"357137";"CLIENT_BILLING_PHONE";"PLCHLDR_000298";"$(relatedRecord : insured|phone|Insureds)$ $(relatedRecord : insured|phone_extra|Insureds)$";"";"TexasCases"
"357138";"CLIENT_BILLING_STATE";"PLCHLDR_000299";"$(relatedRecord : insured|state|Insureds)$";"";"TexasCases"
"357139";"CLIENT_BILLING_ZIP";"PLCHLDR_000300";"$(relatedRecord : insured|zip|Insureds)$";"";"TexasCases"
"357140";"CLIENT_EMAIL";"PLCHLDR_000301";"$(relatedRecord : insured|e_mail|Insureds)$";"Email Address";"TexasCases"
"357141";"CLIENT_FIRST_NAME";"PLCHLDR_000302";"$(relatedRecord : insured|insured1_first_name|Insureds)$";"";"TexasCases"
"357142";"CLIENT_LAST_NAME";"PLCHLDR_000303";"$(relatedRecord : insured|insured1_last_name|Insureds)$";"";"TexasCases"
"357143";"CLIENT_NAME";"PLCHLDR_000304";"$(record : insured)$";"";"TexasCases"
"357144";"CORPORATE_REP";"PLCHLDR_000305";"$(record : ps_corporate_rep)$";"";"TexasCases"
"357145";"COURT_ADDRESS";"PLCHLDR_000306";"$(relatedRecord : court|street|Courts)$";"";"TexasCases"
"357146";"COURT_CITY";"PLCHLDR_000307";"$(relatedRecord : court|city|Courts)$";"";"TexasCases"
"357147";"COURT_COUNTY";"PLCHLDR_000308";"$(relatedRecordLevel : court|Courts|county|county|Counties)$";"";"TexasCases"
"357148";"COURT_NAME";"PLCHLDR_000309";"$(relatedRecord : court|court_name|Courts)$";"";"TexasCases"
"357149";"DEFENDANT_NAME";"PLCHLDR_000310";"$(record : opposing_counsel)$";"";"TexasCases"
"357150";"DOS_END";"PLCHLDR_000311";"$(record : date_of_service|format=F j, Y)$";"";"TexasCases"
