"profilename";"tablabel";"has_access";"profileid";"tabid";"permissions"
"Accountant";"Providers";"1";"9";"135";"0"
"Accountant";"Providers Litigation Assi";"0";"9";"196";"1"
"Accountant";"Queue";"0";"9";"134";"1"
"Accountant";"RecycleBin";"0";"9";"126";"1"
"Accountant";"Reservations";"0";"9";"84";"1"
"Accountant";"Rss";"0";"9";"24";"1"
"Accountant";"SCalculations";"0";"9";"88";"1"
"Accountant";"Service Contracts";"0";"9";"34";"1"
"Accountant";"Services";"0";"9";"35";"1"
"Accountant";"Similar Cases";"1";"9";"176";"0"
"Accountant";"Similar Claims";"1";"9";"169";"0"
"Accountant";"Similar Texas Cases";"1";"9";"199";"0"
"Accountant";"SMSNotifier";"0";"9";"45";"1"
"Accountant";"SQuoteEnquiries";"0";"9";"85";"1"
"Accountant";"SQuotes";"0";"9";"89";"1"
"Accountant";"SRecurringOrders";"0";"9";"91";"1"
"Accountant";"SRequirementsCards";"0";"9";"87";"1"
"Accountant";"SSalesProcesses";"0";"9";"86";"1"
"Accountant";"SSingleOrders";"0";"9";"90";"1"
"Accountant";"SVendorEnquiries";"0";"9";"117";"1"
"Accountant";"System Parameters";"1";"9";"171";"0"
"Accountant";"Tasks";"1";"9";"179";"0"
"Accountant";"test adv";"0";"9";"151";"1"
"Accountant";"Texas Cases";"0";"9";"200";"1"
"Accountant";"User Groups";"1";"9";"181";"0"
"Accountant";"Users";"0";"9";"29";"1"
"Accountant";"Vendors";"0";"9";"18";"1"
"Administrator";"Accounts";"1";"1";"6";"0"
"Administrator";"ActivityRegister";"1";"1";"122";"0"
"Administrator";"Adjusters";"1";"1";"175";"0"
"Administrator";"Announcements";"1";"1";"83";"0"
"Administrator";"Api Address";"1";"1";"73";"0"
"Administrator";"Approvals";"1";"1";"127";"0"
"Administrator";"ApprovalsRegister";"1";"1";"128";"0"
"Administrator";"Assets";"1";"1";"37";"0"
"Administrator";"Attorneys";"1";"1";"149";"0"
"Administrator";"AuditRegister";"1";"1";"125";"0"
"Administrator";"BankAccounts";"1";"1";"133";"0"
"Administrator";"Batch Errors";"1";"1";"155";"0"
"Administrator";"Batch Tasks";"1";"1";"166";"0"
"Administrator";"Calendar";"1";"1";"9";"0"
"Administrator";"CallHistory";"1";"1";"74";"0"
"Administrator";"Campaigns";"1";"1";"26";"0"
"Administrator";"Case Handlers";"1";"1";"164";"0"
"Administrator";"Cases";"1";"1";"159";"0"
"Administrator";"CFixedAssets";"1";"1";"113";"0"
"Administrator";"Chat";"1";"1";"118";"0"
"Administrator";"CInternalTickets";"1";"1";"114";"0"
"Administrator";"Claim Collections";"1";"1";"172";"0"
"Administrator";"Claimed Invoices";"1";"1";"152";"0"
"Administrator";"Claims";"1";"1";"139";"0"
"Administrator";"Claims Documents Upload";"1";"1";"201";"0"
"Administrator";"CMileageLogbook";"1";"1";"116";"0"
"Administrator";"Collections";"1";"1";"170";"0"
"Administrator";"Comments";"1";"1";"40";"0"
"Administrator";"Competition";"1";"1";"93";"0"
"Administrator";"Contacts";"1";"1";"4";"0"
"Administrator";"Contacts";"1";"1";"177";"0"
"Administrator";"Counties";"1";"1";"173";"0"
"Administrator";"Courts";"1";"1";"145";"0"
"Administrator";"Dashboards";"1";"1";"1";"0"
"Administrator";"DataSetRegister";"1";"1";"121";"0"
"Administrator";"Document Package Sources";"1";"1";"162";"0"
"Administrator";"Document Packages";"1";"1";"158";"0"
"Administrator";"Document Templates";"1";"1";"157";"0"
"Administrator";"Document Types";"1";"1";"161";"0"
"Administrator";"Documents";"1";"1";"8";"0"
"Administrator";"DotsPBIReports";"1";"1";"184";"0"
"Administrator";"Dropbox Destinations";"1";"1";"185";"0"
"Administrator";"EmailTemplates";"1";"1";"112";"0"
"Administrator";"Faq";"1";"1";"15";"0"
"Administrator";"FBookkeeping";"1";"1";"94";"0"
"Administrator";"FCorectingInvoice";"1";"1";"107";"0"
"Administrator";"FInvoice";"1";"1";"95";"0"
"Administrator";"FInvoiceCost";"1";"1";"115";"0"
"Administrator";"FInvoiceProforma";"1";"1";"99";"0"
"Administrator";"Help Info";"1";"1";"194";"0"
"Administrator";"HelpDesk";"1";"1";"13";"0"
"Administrator";"HO Claimed Invoices";"1";"1";"187";"0"
"Administrator";"HolidaysEntitlement";"1";"1";"78";"0"
"Administrator";"Ideas";"1";"1";"75";"0"
"Administrator";"IGDN";"1";"1";"100";"0"
"Administrator";"IGDNC";"1";"1";"109";"0"
"Administrator";"IGIN";"1";"1";"102";"0"
"Administrator";"IGRN";"1";"1";"98";"0"
"Administrator";"IGRNC";"1";"1";"108";"0"
"Administrator";"IIDN";"1";"1";"101";"0"
"Administrator";"IncidentRegister";"1";"1";"124";"0"
"Administrator";"Insurance Companies";"1";"1";"168";"0"
"Administrator";"Insurance Company Aliases";"1";"1";"180";"0"
"Administrator";"Insureds";"1";"1";"167";"0"
"Administrator";"Investors";"1";"1";"146";"0"
"Administrator";"IPreOrder";"1";"1";"103";"0"
"Administrator";"ISTDN";"1";"1";"104";"0"
"Administrator";"ISTN";"1";"1";"105";"0"
"Administrator";"IStorages";"1";"1";"97";"0"
"Administrator";"ISTRN";"1";"1";"106";"0"
"Administrator";"Judges";"1";"1";"174";"0"
"Administrator";"KnowledgeBase";"1";"1";"96";"0"
"Administrator";"Law Firm Aliases";"1";"1";"189";"0"
"Administrator";"Law Firms";"1";"1";"188";"0"
"Administrator";"Leads";"1";"1";"7";"0"
"Administrator";"Leads";"1";"1";"178";"0"
"Administrator";"LettersIn";"1";"1";"81";"0"
"Administrator";"LettersOut";"1";"1";"82";"0"
"Administrator";"Litigation Contacts";"1";"1";"191";"0"
"Administrator";"Litigation Costs";"1";"1";"186";"0"
"Administrator";"LocationRegister";"1";"1";"123";"0"
"Administrator";"Locations";"1";"1";"130";"0"
"Administrator";"MailIntegration";"1";"1";"129";"0"
"Administrator";"Mortgage Companies";"1";"1";"190";"0"
"Administrator";"MultiCompany";"1";"1";"119";"0"
"Administrator";"Notification";"1";"1";"111";"0"
"Administrator";"Occurrences";"1";"1";"131";"0"
"Administrator";"OpenStreetMap";"1";"1";"110";"0"
"Administrator";"OSSEmployees";"1";"1";"61";"0"
"Administrator";"OSSMail";"1";"1";"48";"0"
"Administrator";"OSSMailView";"1";"1";"54";"0"
"Administrator";"OSSOutsourcedServices";"1";"1";"57";"0"
"Administrator";"OSSPasswords";"1";"1";"60";"0"
"Administrator";"OSSSoldServices";"1";"1";"58";"0"
"Administrator";"OSSTimeControl";"1";"1";"51";"0"
"Administrator";"Outside Cases";"1";"1";"182";"0"
"Administrator";"OutsourcedProducts";"1";"1";"59";"0"
"Administrator";"Package Email Variants";"1";"1";"163";"0"
"Administrator";"Partial Settlements";"1";"1";"192";"0"
"Administrator";"Partners";"1";"1";"92";"0"
"Administrator";"Partners Portal Activity";"1";"1";"197";"0"
"Administrator";"Password";"1";"1";"50";"0"
"Administrator";"Payments";"1";"1";"147";"0"
"Administrator";"PaymentsIn";"1";"1";"79";"0"
"Administrator";"PaymentsOut";"1";"1";"80";"0"
"Administrator";"PermissionInspector";"1";"1";"120";"0"
"Administrator";"Placeholders";"1";"1";"165";"0"
"Administrator";"Portfolio Purchases";"1";"1";"154";"0"
"Administrator";"Portfolios";"1";"1";"138";"0"
"Administrator";"PriceBooks";"1";"1";"19";"0"
"Administrator";"ProductCategory";"1";"1";"132";"0"
"Administrator";"Products";"1";"1";"14";"0"
"Administrator";"Program Algorithms";"1";"1";"193";"0"
"Administrator";"Programs";"1";"1";"144";"0"
"Administrator";"Project";"1";"1";"43";"0"
"Administrator";"ProjectMilestone";"1";"1";"41";"0"
"Administrator";"ProjectTask";"1";"1";"42";"0"
"Administrator";"Provider Contacts";"1";"1";"136";"0"
"Administrator";"Provider Eligibility";"1";"1";"141";"0"
"Administrator";"Provider Eligibility Conf";"1";"1";"140";"0"
"Administrator";"Provider Licenses";"1";"1";"150";"0"
"Administrator";"Provider References";"1";"1";"137";"0"
"Administrator";"Providers";"1";"1";"135";"0"
"Administrator";"Providers Litigation Assi";"1";"1";"196";"0"
"Administrator";"Queue";"1";"1";"134";"0"
"Administrator";"RecycleBin";"1";"1";"126";"0"
"Administrator";"Reservations";"1";"1";"84";"0"
"Administrator";"Rss";"1";"1";"24";"0"
"Administrator";"SCalculations";"1";"1";"88";"0"
"Administrator";"Service Contracts";"1";"1";"34";"0"
"Administrator";"Services";"1";"1";"35";"0"
"Administrator";"Similar Cases";"1";"1";"176";"0"
"Administrator";"Similar Claims";"1";"1";"169";"0"
"Administrator";"Similar Texas Cases";"1";"1";"199";"0"
"Administrator";"SMSNotifier";"1";"1";"45";"0"
"Administrator";"SQuoteEnquiries";"1";"1";"85";"0"
"Administrator";"SQuotes";"1";"1";"89";"0"
"Administrator";"SRecurringOrders";"1";"1";"91";"0"
"Administrator";"SRequirementsCards";"1";"1";"87";"0"
"Administrator";"SSalesProcesses";"1";"1";"86";"0"
"Administrator";"SSingleOrders";"1";"1";"90";"0"
"Administrator";"SVendorEnquiries";"1";"1";"117";"0"
"Administrator";"System Parameters";"1";"1";"171";"0"
"Administrator";"Tasks";"1";"1";"179";"0"
"Administrator";"test adv";"1";"1";"151";"0"
"Administrator";"Texas Cases";"1";"1";"200";"0"
"Administrator";"User Groups";"1";"1";"181";"0"
"Administrator";"Users";"1";"1";"29";"0"
"Administrator";"Vendors";"1";"1";"18";"0"
"Attorney";"Adjusters";"1";"16";"175";"0"
"Attorney";"Api Address";"0";"16";"73";"1"
"Attorney";"Attorneys";"1";"16";"149";"0"
"Attorney";"Batch Errors";"1";"16";"155";"0"
"Attorney";"Batch Tasks";"1";"16";"166";"0"
"Attorney";"Calendar";"1";"16";"9";"0"
"Attorney";"Case Handlers";"1";"16";"164";"0"
"Attorney";"Cases";"1";"16";"159";"0"
"Attorney";"Claim Collections";"0";"16";"172";"1"
"Attorney";"Claimed Invoices";"0";"16";"152";"1"
"Attorney";"Claims";"0";"16";"139";"1"
"Attorney";"Claims Documents Upload";"1";"16";"201";"0"
"Attorney";"Collections";"1";"16";"170";"0"
"Attorney";"Comments";"1";"16";"40";"0"
"Attorney";"Contacts";"1";"16";"177";"0"
"Attorney";"Counties";"1";"16";"173";"0"
"Attorney";"Courts";"1";"16";"145";"0"
"Attorney";"Dashboards";"1";"16";"1";"0"
"Attorney";"Document Package Sources";"1";"16";"162";"0"
"Attorney";"Document Packages";"1";"16";"158";"0"
"Attorney";"Document Templates";"1";"16";"157";"0"
"Attorney";"Document Types";"1";"16";"161";"0"
"Attorney";"Documents";"1";"16";"8";"0"
"Attorney";"DotsPBIReports";"1";"16";"184";"0"
"Attorney";"Dropbox Destinations";"1";"16";"185";"0"
"Attorney";"EmailTemplates";"0";"16";"112";"1"
"Attorney";"Help Info";"1";"16";"194";"0"
"Attorney";"HO Claimed Invoices";"1";"16";"187";"0"
"Attorney";"Insurance Companies";"1";"16";"168";"0"
"Attorney";"Insurance Company Aliases";"1";"16";"180";"0"
"Attorney";"Insureds";"1";"16";"167";"0"
"Attorney";"Investors";"0";"16";"146";"1"
"Attorney";"Judges";"1";"16";"174";"0"
"Attorney";"Law Firm Aliases";"1";"16";"189";"0"
"Attorney";"Law Firms";"1";"16";"188";"0"
"Attorney";"Leads";"1";"16";"178";"0"
"Attorney";"Litigation Contacts";"1";"16";"191";"0"
"Attorney";"Litigation Costs";"1";"16";"186";"0"
"Attorney";"Mortgage Companies";"1";"16";"190";"0"
"Attorney";"Notification";"1";"16";"111";"0"
"Attorney";"OpenStreetMap";"0";"16";"110";"1"
"Attorney";"OSSMail";"1";"16";"48";"0"
"Attorney";"OSSMailView";"1";"16";"54";"0"
"Attorney";"OSSTimeControl";"0";"16";"51";"1"
"Attorney";"Outside Cases";"0";"16";"182";"1"
"Attorney";"Package Email Variants";"1";"16";"163";"0"
"Attorney";"Partial Settlements";"1";"16";"192";"0"
"Attorney";"Partners Portal Activity";"1";"16";"197";"0"
"Attorney";"Password";"0";"16";"50";"1"
"Attorney";"Payments";"0";"16";"147";"1"
"Attorney";"PermissionInspector";"0";"16";"120";"1"
"Attorney";"Placeholders";"0";"16";"165";"1"
"Attorney";"Portfolio Purchases";"0";"16";"154";"1"
"Attorney";"Portfolios";"1";"16";"138";"0"
"Attorney";"Program Algorithms";"1";"16";"193";"0"
"Attorney";"Programs";"0";"16";"144";"1"
"Attorney";"Provider Contacts";"1";"16";"136";"0"
"Attorney";"Provider Eligibility";"1";"16";"141";"0"
"Attorney";"Provider Eligibility Conf";"1";"16";"140";"0"
"Attorney";"Provider Licenses";"1";"16";"150";"0"
"Attorney";"Provider References";"1";"16";"137";"0"
"Attorney";"Providers";"1";"16";"135";"0"
"Attorney";"Providers Litigation Assi";"0";"16";"196";"1"
"Attorney";"RecycleBin";"0";"16";"126";"1"
"Attorney";"Rss";"0";"16";"24";"1"
"Attorney";"Similar Cases";"1";"16";"176";"0"
"Attorney";"Similar Claims";"0";"16";"169";"1"
"Attorney";"Similar Texas Cases";"1";"16";"199";"0"
"Attorney";"System Parameters";"0";"16";"171";"1"
"Attorney";"Tasks";"1";"16";"179";"0"
"Attorney";"test adv";"0";"16";"151";"1"
"Attorney";"Texas Cases";"0";"16";"200";"1"
"Attorney";"User Groups";"0";"16";"181";"1"
"Attorney";"Users";"0";"16";"29";"1"
"Auditor";"Adjusters";"1";"23";"175";"0"
"Auditor";"Api Address";"0";"23";"73";"1"
"Auditor";"Attorneys";"1";"23";"149";"0"
"Auditor";"Batch Errors";"1";"23";"155";"0"
"Auditor";"Batch Tasks";"1";"23";"166";"0"
"Auditor";"Calendar";"1";"23";"9";"0"
"Auditor";"Case Handlers";"1";"23";"164";"0"
"Auditor";"Cases";"1";"23";"159";"0"
"Auditor";"Claim Collections";"1";"23";"172";"0"
"Auditor";"Claimed Invoices";"1";"23";"152";"0"
"Auditor";"Claims";"1";"23";"139";"0"
"Auditor";"Claims Documents Upload";"1";"23";"201";"0"
"Auditor";"Collections";"1";"23";"170";"0"
"Auditor";"Comments";"1";"23";"40";"0"
"Auditor";"Contacts";"0";"23";"177";"1"
"Auditor";"Counties";"1";"23";"173";"0"
"Auditor";"Courts";"1";"23";"145";"0"
"Auditor";"Dashboards";"1";"23";"1";"0"
"Auditor";"Document Package Sources";"1";"23";"162";"0"
"Auditor";"Document Packages";"1";"23";"158";"0"
"Auditor";"Document Templates";"1";"23";"157";"0"
"Auditor";"Document Types";"1";"23";"161";"0"
"Auditor";"Documents";"1";"23";"8";"0"
"Auditor";"DotsPBIReports";"0";"23";"184";"1"
"Auditor";"Dropbox Destinations";"1";"23";"185";"0"
"Auditor";"EmailTemplates";"1";"23";"112";"0"
"Auditor";"Help Info";"1";"23";"194";"0"
"Auditor";"HO Claimed Invoices";"1";"23";"187";"0"
"Auditor";"Insurance Companies";"1";"23";"168";"0"
"Auditor";"Insurance Company Aliases";"1";"23";"180";"0"
"Auditor";"Insureds";"1";"23";"167";"0"
"Auditor";"Investors";"1";"23";"146";"0"
"Auditor";"Judges";"1";"23";"174";"0"
"Auditor";"Law Firm Aliases";"1";"23";"189";"0"
"Auditor";"Law Firms";"1";"23";"188";"0"
"Auditor";"Leads";"0";"23";"178";"1"
"Auditor";"Litigation Contacts";"1";"23";"191";"0"
"Auditor";"Litigation Costs";"1";"23";"186";"0"
"Auditor";"Mortgage Companies";"1";"23";"190";"0"
"Auditor";"Notification";"1";"23";"111";"0"
"Auditor";"OpenStreetMap";"0";"23";"110";"1"
"Auditor";"OSSMail";"1";"23";"48";"0"
"Auditor";"OSSMailView";"1";"23";"54";"0"
"Auditor";"OSSTimeControl";"0";"23";"51";"1"
"Auditor";"Outside Cases";"1";"23";"182";"0"
"Auditor";"Package Email Variants";"1";"23";"163";"0"
"Auditor";"Partial Settlements";"1";"23";"192";"0"
"Auditor";"Partners Portal Activity";"1";"23";"197";"0"
"Auditor";"Password";"0";"23";"50";"1"
"Auditor";"Payments";"1";"23";"147";"0"
"Auditor";"PermissionInspector";"0";"23";"120";"1"
"Auditor";"Placeholders";"1";"23";"165";"0"
"Auditor";"Portfolio Purchases";"1";"23";"154";"0"
"Auditor";"Portfolios";"1";"23";"138";"0"
"Auditor";"Program Algorithms";"1";"23";"193";"0"
"Auditor";"Programs";"1";"23";"144";"0"
"Auditor";"Provider Contacts";"1";"23";"136";"0"
"Auditor";"Provider Eligibility";"1";"23";"141";"0"
"Auditor";"Provider Eligibility Conf";"1";"23";"140";"0"
"Auditor";"Provider Licenses";"1";"23";"150";"0"
"Auditor";"Provider References";"1";"23";"137";"0"
"Auditor";"Providers";"1";"23";"135";"0"
"Auditor";"Providers Litigation Assi";"0";"23";"196";"1"
"Auditor";"RecycleBin";"0";"23";"126";"1"
"Auditor";"Rss";"0";"23";"24";"1"
"Auditor";"Similar Cases";"1";"23";"176";"0"
"Auditor";"Similar Claims";"1";"23";"169";"0"
"Auditor";"Similar Texas Cases";"1";"23";"199";"0"
"Auditor";"System Parameters";"1";"23";"171";"0"
"Auditor";"Tasks";"1";"23";"179";"0"
"Auditor";"test adv";"0";"23";"151";"1"
"Auditor";"Texas Cases";"0";"23";"200";"1"
"Auditor";"User Groups";"1";"23";"181";"0"
"Auditor";"Users";"0";"23";"29";"1"
"Case Manager";"Accounts";"0";"11";"6";"1"
"Case Manager";"ActivityRegister";"0";"11";"122";"1"
"Case Manager";"Adjusters";"1";"11";"175";"0"
"Case Manager";"Announcements";"0";"11";"83";"1"
"Case Manager";"Api Address";"0";"11";"73";"1"
"Case Manager";"Approvals";"0";"11";"127";"1"
"Case Manager";"ApprovalsRegister";"0";"11";"128";"1"
"Case Manager";"Assets";"0";"11";"37";"1"
"Case Manager";"Attorneys";"1";"11";"149";"0"
"Case Manager";"AuditRegister";"0";"11";"125";"1"
"Case Manager";"BankAccounts";"0";"11";"133";"1"
"Case Manager";"Batch Errors";"1";"11";"155";"0"
"Case Manager";"Batch Tasks";"1";"11";"166";"0"
"Case Manager";"Calendar";"1";"11";"9";"0"
"Case Manager";"CallHistory";"0";"11";"74";"1"
"Case Manager";"Campaigns";"0";"11";"26";"1"
"Case Manager";"Case Handlers";"1";"11";"164";"0"
"Case Manager";"Cases";"1";"11";"159";"0"
"Case Manager";"CFixedAssets";"0";"11";"113";"1"
"Case Manager";"CInternalTickets";"0";"11";"114";"1"
"Case Manager";"Claim Collections";"0";"11";"172";"1"
"Case Manager";"Claimed Invoices";"1";"11";"152";"0"
"Case Manager";"Claims";"1";"11";"139";"0"
"Case Manager";"Claims Documents Upload";"1";"11";"201";"0"
"Case Manager";"CMileageLogbook";"0";"11";"116";"1"
"Case Manager";"Collections";"1";"11";"170";"0"
"Case Manager";"Comments";"1";"11";"40";"0"
"Case Manager";"Competition";"0";"11";"93";"1"
"Case Manager";"Contacts";"0";"11";"4";"1"
"Case Manager";"Contacts";"1";"11";"177";"0"
"Case Manager";"Counties";"1";"11";"173";"0"
"Case Manager";"Courts";"1";"11";"145";"0"
"Case Manager";"Dashboards";"1";"11";"1";"0"
"Case Manager";"DataSetRegister";"0";"11";"121";"1"
"Case Manager";"Document Package Sources";"1";"11";"162";"0"
"Case Manager";"Document Packages";"1";"11";"158";"0"
"Case Manager";"Document Templates";"1";"11";"157";"0"
"Case Manager";"Document Types";"1";"11";"161";"0"
"Case Manager";"Documents";"1";"11";"8";"0"
"Case Manager";"DotsPBIReports";"1";"11";"184";"0"
"Case Manager";"Dropbox Destinations";"1";"11";"185";"0"
"Case Manager";"EmailTemplates";"0";"11";"112";"1"
"Case Manager";"Faq";"0";"11";"15";"1"
"Case Manager";"FBookkeeping";"0";"11";"94";"1"
"Case Manager";"FCorectingInvoice";"0";"11";"107";"1"
"Case Manager";"FInvoice";"0";"11";"95";"1"
"Case Manager";"FInvoiceCost";"0";"11";"115";"1"
"Case Manager";"FInvoiceProforma";"0";"11";"99";"1"
"Case Manager";"Help Info";"1";"11";"194";"0"
"Case Manager";"HelpDesk";"0";"11";"13";"1"
"Case Manager";"HO Claimed Invoices";"1";"11";"187";"0"
"Case Manager";"HolidaysEntitlement";"0";"11";"78";"1"
"Case Manager";"Ideas";"0";"11";"75";"1"
"Case Manager";"IGDN";"0";"11";"100";"1"
"Case Manager";"IGDNC";"0";"11";"109";"1"
"Case Manager";"IGIN";"0";"11";"102";"1"
"Case Manager";"IGRN";"0";"11";"98";"1"
"Case Manager";"IGRNC";"0";"11";"108";"1"
"Case Manager";"IIDN";"0";"11";"101";"1"
"Case Manager";"IncidentRegister";"0";"11";"124";"1"
"Case Manager";"Insurance Companies";"1";"11";"168";"0"
"Case Manager";"Insurance Company Aliases";"1";"11";"180";"0"
"Case Manager";"Insureds";"1";"11";"167";"0"
"Case Manager";"Investors";"0";"11";"146";"1"
"Case Manager";"IPreOrder";"0";"11";"103";"1"
"Case Manager";"ISTDN";"0";"11";"104";"1"
"Case Manager";"ISTN";"0";"11";"105";"1"
"Case Manager";"IStorages";"0";"11";"97";"1"
"Case Manager";"ISTRN";"0";"11";"106";"1"
"Case Manager";"Judges";"1";"11";"174";"0"
"Case Manager";"KnowledgeBase";"0";"11";"96";"1"
"Case Manager";"Law Firm Aliases";"1";"11";"189";"0"
"Case Manager";"Law Firms";"1";"11";"188";"0"
