"profilename";"tablabel";"operation_name";"has_access";"profileid";"tabid";"operation";"permissions"
"Accountant";"OSSMailView";"Delete";"0";"9";"54";"2";"1"
"Accountant";"OSSMailView";"Create";"0";"9";"54";"7";"1"
"Accountant";"Outside Cases";"View";"1";"9";"182";"0";"0"
"Accountant";"Outside Cases";"Edit";"1";"9";"182";"1";"0"
"Accountant";"Outside Cases";"Delete";"0";"9";"182";"2";"1"
"Accountant";"Outside Cases";"Create";"1";"9";"182";"7";"0"
"Accountant";"Package Email Variants";"View";"1";"9";"163";"0";"0"
"Accountant";"Package Email Variants";"Edit";"0";"9";"163";"1";"1"
"Accountant";"Package Email Variants";"Delete";"0";"9";"163";"2";"1"
"Accountant";"Package Email Variants";"Create";"0";"9";"163";"7";"1"
"Accountant";"Partial Settlements";"View";"1";"9";"192";"0";"0"
"Accountant";"Partial Settlements";"Edit";"1";"9";"192";"1";"0"
"Accountant";"Partial Settlements";"Delete";"0";"9";"192";"2";"1"
"Accountant";"Partial Settlements";"Create";"1";"9";"192";"7";"0"
"Accountant";"Partners Portal Activity";"View";"1";"9";"197";"0";"0"
"Accountant";"Partners Portal Activity";"Edit";"1";"9";"197";"1";"0"
"Accountant";"Partners Portal Activity";"Delete";"0";"9";"197";"2";"1"
"Accountant";"Partners Portal Activity";"Create";"1";"9";"197";"7";"0"
"Accountant";"Payments";"View";"1";"9";"147";"0";"0"
"Accountant";"Payments";"Edit";"1";"9";"147";"1";"0"
"Accountant";"Payments";"Delete";"0";"9";"147";"2";"1"
"Accountant";"Payments";"Create";"1";"9";"147";"7";"0"
"Accountant";"Placeholders";"View";"1";"9";"165";"0";"0"
"Accountant";"Placeholders";"Edit";"0";"9";"165";"1";"1"
"Accountant";"Placeholders";"Delete";"0";"9";"165";"2";"1"
"Accountant";"Placeholders";"Create";"0";"9";"165";"7";"1"
"Accountant";"Portfolio Purchases";"View";"1";"9";"154";"0";"0"
"Accountant";"Portfolio Purchases";"Edit";"0";"9";"154";"1";"1"
"Accountant";"Portfolio Purchases";"Delete";"0";"9";"154";"2";"1"
"Accountant";"Portfolio Purchases";"Create";"0";"9";"154";"7";"1"
"Accountant";"Portfolios";"View";"1";"9";"138";"0";"0"
"Accountant";"Portfolios";"Edit";"0";"9";"138";"1";"1"
"Accountant";"Portfolios";"Delete";"0";"9";"138";"2";"1"
"Accountant";"Portfolios";"Create";"0";"9";"138";"7";"1"
"Accountant";"Program Algorithms";"View";"1";"9";"193";"0";"0"
"Accountant";"Program Algorithms";"Edit";"1";"9";"193";"1";"0"
"Accountant";"Program Algorithms";"Delete";"0";"9";"193";"2";"1"
"Accountant";"Program Algorithms";"Create";"1";"9";"193";"7";"0"
"Accountant";"Programs";"View";"1";"9";"144";"0";"0"
"Accountant";"Programs";"Edit";"0";"9";"144";"1";"1"
"Accountant";"Programs";"Delete";"0";"9";"144";"2";"1"
"Accountant";"Programs";"Create";"0";"9";"144";"7";"1"
"Accountant";"Provider Contacts";"View";"1";"9";"136";"0";"0"
"Accountant";"Provider Contacts";"Edit";"0";"9";"136";"1";"1"
"Accountant";"Provider Contacts";"Delete";"0";"9";"136";"2";"1"
"Accountant";"Provider Contacts";"Create";"0";"9";"136";"7";"1"
"Accountant";"Provider Eligibility";"View";"1";"9";"141";"0";"0"
"Accountant";"Provider Eligibility";"Edit";"0";"9";"141";"1";"1"
"Accountant";"Provider Eligibility";"Delete";"0";"9";"141";"2";"1"
"Accountant";"Provider Eligibility";"Create";"0";"9";"141";"7";"1"
"Accountant";"Provider Eligibility Conf";"View";"1";"9";"140";"0";"0"
"Accountant";"Provider Eligibility Conf";"Edit";"0";"9";"140";"1";"1"
"Accountant";"Provider Eligibility Conf";"Delete";"0";"9";"140";"2";"1"
"Accountant";"Provider Eligibility Conf";"Create";"0";"9";"140";"7";"1"
"Accountant";"Provider Licenses";"View";"1";"9";"150";"0";"0"
"Accountant";"Provider Licenses";"Edit";"0";"9";"150";"1";"1"
"Accountant";"Provider Licenses";"Delete";"0";"9";"150";"2";"1"
"Accountant";"Provider Licenses";"Create";"0";"9";"150";"7";"1"
"Accountant";"Provider References";"View";"1";"9";"137";"0";"0"
"Accountant";"Provider References";"Edit";"0";"9";"137";"1";"1"
"Accountant";"Provider References";"Delete";"0";"9";"137";"2";"1"
"Accountant";"Provider References";"Create";"0";"9";"137";"7";"1"
"Accountant";"Providers";"View";"1";"9";"135";"0";"0"
"Accountant";"Providers";"Edit";"0";"9";"135";"1";"1"
"Accountant";"Providers";"Delete";"0";"9";"135";"2";"1"
"Accountant";"Providers";"Create";"0";"9";"135";"7";"1"
"Accountant";"Similar Cases";"View";"1";"9";"176";"0";"0"
"Accountant";"Similar Cases";"Edit";"0";"9";"176";"1";"1"
"Accountant";"Similar Cases";"Delete";"0";"9";"176";"2";"1"
"Accountant";"Similar Cases";"Create";"0";"9";"176";"7";"1"
"Accountant";"Similar Claims";"View";"1";"9";"169";"0";"0"
"Accountant";"Similar Claims";"Edit";"0";"9";"169";"1";"1"
"Accountant";"Similar Claims";"Delete";"0";"9";"169";"2";"1"
"Accountant";"Similar Claims";"Create";"0";"9";"169";"7";"1"
"Accountant";"Similar Texas Cases";"View";"1";"9";"199";"0";"0"
"Accountant";"Similar Texas Cases";"Edit";"1";"9";"199";"1";"0"
"Accountant";"Similar Texas Cases";"Delete";"0";"9";"199";"2";"1"
"Accountant";"Similar Texas Cases";"Create";"1";"9";"199";"7";"0"
"Accountant";"System Parameters";"View";"1";"9";"171";"0";"0"
"Accountant";"System Parameters";"Edit";"0";"9";"171";"1";"1"
"Accountant";"System Parameters";"Delete";"0";"9";"171";"2";"1"
"Accountant";"System Parameters";"Create";"0";"9";"171";"7";"1"
"Accountant";"Tasks";"View";"1";"9";"179";"0";"0"
"Accountant";"Tasks";"Edit";"0";"9";"179";"1";"1"
"Accountant";"Tasks";"Delete";"0";"9";"179";"2";"1"
"Accountant";"Tasks";"Create";"0";"9";"179";"7";"1"
"Accountant";"User Groups";"View";"1";"9";"181";"0";"0"
"Accountant";"User Groups";"Edit";"0";"9";"181";"1";"1"
"Accountant";"User Groups";"Delete";"0";"9";"181";"2";"1"
"Accountant";"User Groups";"Create";"0";"9";"181";"7";"1"
"Administrator";"Accounts";"View";"1";"1";"6";"0";"0"
"Administrator";"Accounts";"Edit";"1";"1";"6";"1";"0"
"Administrator";"Accounts";"Delete";"1";"1";"6";"2";"0"
"Administrator";"Accounts";"Create";"1";"1";"6";"7";"0"
"Administrator";"ActivityRegister";"View";"1";"1";"122";"0";"0"
"Administrator";"ActivityRegister";"Edit";"1";"1";"122";"1";"0"
"Administrator";"ActivityRegister";"Delete";"1";"1";"122";"2";"0"
"Administrator";"ActivityRegister";"Create";"1";"1";"122";"7";"0"
"Administrator";"Adjusters";"View";"1";"1";"175";"0";"0"
"Administrator";"Adjusters";"Edit";"1";"1";"175";"1";"0"
"Administrator";"Adjusters";"Delete";"1";"1";"175";"2";"0"
"Administrator";"Adjusters";"Create";"1";"1";"175";"7";"0"
"Administrator";"Announcements";"View";"1";"1";"83";"0";"0"
"Administrator";"Announcements";"Edit";"1";"1";"83";"1";"0"
"Administrator";"Announcements";"Delete";"1";"1";"83";"2";"0"
"Administrator";"Announcements";"Create";"1";"1";"83";"7";"0"
"Administrator";"Approvals";"View";"1";"1";"127";"0";"0"
"Administrator";"Approvals";"Edit";"1";"1";"127";"1";"0"
"Administrator";"Approvals";"Delete";"1";"1";"127";"2";"0"
"Administrator";"Approvals";"Create";"1";"1";"127";"7";"0"
"Administrator";"ApprovalsRegister";"View";"1";"1";"128";"0";"0"
"Administrator";"ApprovalsRegister";"Edit";"1";"1";"128";"1";"0"
"Administrator";"ApprovalsRegister";"Delete";"1";"1";"128";"2";"0"
"Administrator";"ApprovalsRegister";"Create";"1";"1";"128";"7";"0"
"Administrator";"Assets";"View";"1";"1";"37";"0";"0"
"Administrator";"Assets";"Edit";"1";"1";"37";"1";"0"
"Administrator";"Assets";"Delete";"1";"1";"37";"2";"0"
"Administrator";"Assets";"Create";"1";"1";"37";"7";"0"
"Administrator";"Attorneys";"View";"1";"1";"149";"0";"0"
"Administrator";"Attorneys";"Edit";"1";"1";"149";"1";"0"
"Administrator";"Attorneys";"Delete";"1";"1";"149";"2";"0"
"Administrator";"Attorneys";"Create";"1";"1";"149";"7";"0"
"Administrator";"AuditRegister";"View";"1";"1";"125";"0";"0"
"Administrator";"AuditRegister";"Edit";"1";"1";"125";"1";"0"
"Administrator";"AuditRegister";"Delete";"1";"1";"125";"2";"0"
"Administrator";"AuditRegister";"Create";"1";"1";"125";"7";"0"
"Administrator";"BankAccounts";"View";"1";"1";"133";"0";"0"
"Administrator";"BankAccounts";"Edit";"1";"1";"133";"1";"0"
"Administrator";"BankAccounts";"Delete";"1";"1";"133";"2";"0"
"Administrator";"BankAccounts";"Create";"1";"1";"133";"7";"0"
"Administrator";"Batch Errors";"View";"1";"1";"155";"0";"0"
"Administrator";"Batch Errors";"Edit";"1";"1";"155";"1";"0"
"Administrator";"Batch Errors";"Delete";"1";"1";"155";"2";"0"
"Administrator";"Batch Errors";"Create";"1";"1";"155";"7";"0"
"Administrator";"Batch Tasks";"View";"1";"1";"166";"0";"0"
"Administrator";"Batch Tasks";"Edit";"1";"1";"166";"1";"0"
"Administrator";"Batch Tasks";"Delete";"1";"1";"166";"2";"0"
"Administrator";"Batch Tasks";"Create";"1";"1";"166";"7";"0"
"Administrator";"Calendar";"View";"1";"1";"9";"0";"0"
"Administrator";"Calendar";"Edit";"1";"1";"9";"1";"0"
"Administrator";"Calendar";"Delete";"1";"1";"9";"2";"0"
"Administrator";"Calendar";"Create";"1";"1";"9";"7";"0"
"Administrator";"CallHistory";"View";"1";"1";"74";"0";"0"
"Administrator";"CallHistory";"Edit";"1";"1";"74";"1";"0"
"Administrator";"CallHistory";"Delete";"1";"1";"74";"2";"0"
"Administrator";"CallHistory";"Create";"1";"1";"74";"7";"0"
"Administrator";"Campaigns";"View";"1";"1";"26";"0";"0"
"Administrator";"Campaigns";"Edit";"1";"1";"26";"1";"0"
"Administrator";"Campaigns";"Delete";"1";"1";"26";"2";"0"
"Administrator";"Campaigns";"Create";"1";"1";"26";"7";"0"
"Administrator";"Case Handlers";"View";"1";"1";"164";"0";"0"
"Administrator";"Case Handlers";"Edit";"1";"1";"164";"1";"0"
"Administrator";"Case Handlers";"Delete";"1";"1";"164";"2";"0"
"Administrator";"Case Handlers";"Create";"1";"1";"164";"7";"0"
"Administrator";"Cases";"View";"1";"1";"159";"0";"0"
"Administrator";"Cases";"Edit";"1";"1";"159";"1";"0"
"Administrator";"Cases";"Delete";"1";"1";"159";"2";"0"
"Administrator";"Cases";"Create";"1";"1";"159";"7";"0"
"Administrator";"CFixedAssets";"View";"1";"1";"113";"0";"0"
"Administrator";"CFixedAssets";"Edit";"1";"1";"113";"1";"0"
"Administrator";"CFixedAssets";"Delete";"1";"1";"113";"2";"0"
"Administrator";"CFixedAssets";"Create";"1";"1";"113";"7";"0"
"Administrator";"CInternalTickets";"View";"1";"1";"114";"0";"0"
"Administrator";"CInternalTickets";"Edit";"1";"1";"114";"1";"0"
"Administrator";"CInternalTickets";"Delete";"1";"1";"114";"2";"0"
"Administrator";"CInternalTickets";"Create";"1";"1";"114";"7";"0"
"Administrator";"Claim Collections";"View";"1";"1";"172";"0";"0"
"Administrator";"Claim Collections";"Edit";"1";"1";"172";"1";"0"
"Administrator";"Claim Collections";"Delete";"1";"1";"172";"2";"0"
"Administrator";"Claim Collections";"Create";"1";"1";"172";"7";"0"
"Administrator";"Claimed Invoices";"View";"1";"1";"152";"0";"0"
"Administrator";"Claimed Invoices";"Edit";"1";"1";"152";"1";"0"
"Administrator";"Claimed Invoices";"Delete";"1";"1";"152";"2";"0"
"Administrator";"Claimed Invoices";"Create";"1";"1";"152";"7";"0"
"Administrator";"Claims";"View";"1";"1";"139";"0";"0"
"Administrator";"Claims";"Edit";"1";"1";"139";"1";"0"
"Administrator";"Claims";"Delete";"1";"1";"139";"2";"0"
"Administrator";"Claims";"Create";"1";"1";"139";"7";"0"
"Administrator";"Claims Documents Upload";"View";"1";"1";"201";"0";"0"
"Administrator";"Claims Documents Upload";"Edit";"1";"1";"201";"1";"0"
"Administrator";"Claims Documents Upload";"Delete";"1";"1";"201";"2";"0"
"Administrator";"Claims Documents Upload";"Create";"1";"1";"201";"7";"0"
"Administrator";"CMileageLogbook";"View";"1";"1";"116";"0";"0"
"Administrator";"CMileageLogbook";"Edit";"1";"1";"116";"1";"0"
"Administrator";"CMileageLogbook";"Delete";"1";"1";"116";"2";"0"
"Administrator";"CMileageLogbook";"Create";"1";"1";"116";"7";"0"
"Administrator";"Collections";"View";"1";"1";"170";"0";"0"
"Administrator";"Collections";"Edit";"1";"1";"170";"1";"0"
"Administrator";"Collections";"Delete";"1";"1";"170";"2";"0"
"Administrator";"Collections";"Create";"1";"1";"170";"7";"0"
"Administrator";"Comments";"View";"1";"1";"40";"0";"0"
"Administrator";"Comments";"Edit";"1";"1";"40";"1";"0"
"Administrator";"Comments";"Delete";"1";"1";"40";"2";"0"
"Administrator";"Comments";"Create";"1";"1";"40";"7";"0"
"Administrator";"Competition";"View";"1";"1";"93";"0";"0"
"Administrator";"Competition";"Edit";"1";"1";"93";"1";"0"
"Administrator";"Competition";"Delete";"1";"1";"93";"2";"0"
"Administrator";"Competition";"Create";"1";"1";"93";"7";"0"
"Administrator";"Contacts";"View";"1";"1";"4";"0";"0"
"Administrator";"Contacts";"View";"1";"1";"177";"0";"0"
"Administrator";"Contacts";"Edit";"1";"1";"4";"1";"0"
"Administrator";"Contacts";"Edit";"1";"1";"177";"1";"0"
"Administrator";"Contacts";"Delete";"1";"1";"4";"2";"0"
"Administrator";"Contacts";"Delete";"1";"1";"177";"2";"0"
"Administrator";"Contacts";"Create";"1";"1";"4";"7";"0"
"Administrator";"Contacts";"Create";"1";"1";"177";"7";"0"
"Administrator";"Counties";"View";"1";"1";"173";"0";"0"
"Administrator";"Counties";"Edit";"1";"1";"173";"1";"0"
"Administrator";"Counties";"Delete";"1";"1";"173";"2";"0"
"Administrator";"Counties";"Create";"1";"1";"173";"7";"0"
"Administrator";"Courts";"View";"1";"1";"145";"0";"0"
"Administrator";"Courts";"Edit";"1";"1";"145";"1";"0"
"Administrator";"Courts";"Delete";"1";"1";"145";"2";"0"
"Administrator";"Courts";"Create";"1";"1";"145";"7";"0"
"Administrator";"DataSetRegister";"View";"1";"1";"121";"0";"0"
"Administrator";"DataSetRegister";"Edit";"1";"1";"121";"1";"0"
"Administrator";"DataSetRegister";"Delete";"1";"1";"121";"2";"0"
"Administrator";"DataSetRegister";"Create";"1";"1";"121";"7";"0"
"Administrator";"Document Package Sources";"View";"1";"1";"162";"0";"0"
"Administrator";"Document Package Sources";"Edit";"1";"1";"162";"1";"0"
"Administrator";"Document Package Sources";"Delete";"1";"1";"162";"2";"0"
"Administrator";"Document Package Sources";"Create";"1";"1";"162";"7";"0"
"Administrator";"Document Packages";"View";"1";"1";"158";"0";"0"
"Administrator";"Document Packages";"Edit";"1";"1";"158";"1";"0"
"Administrator";"Document Packages";"Delete";"1";"1";"158";"2";"0"
"Administrator";"Document Packages";"Create";"1";"1";"158";"7";"0"
"Administrator";"Document Templates";"View";"1";"1";"157";"0";"0"
"Administrator";"Document Templates";"Edit";"1";"1";"157";"1";"0"
"Administrator";"Document Templates";"Delete";"1";"1";"157";"2";"0"
"Administrator";"Document Templates";"Create";"1";"1";"157";"7";"0"
"Administrator";"Document Types";"View";"1";"1";"161";"0";"0"
"Administrator";"Document Types";"Edit";"1";"1";"161";"1";"0"
"Administrator";"Document Types";"Delete";"1";"1";"161";"2";"0"
"Administrator";"Document Types";"Create";"1";"1";"161";"7";"0"
"Administrator";"Documents";"View";"1";"1";"8";"0";"0"
"Administrator";"Documents";"Edit";"1";"1";"8";"1";"0"
"Administrator";"Documents";"Delete";"1";"1";"8";"2";"0"
"Administrator";"Documents";"Create";"1";"1";"8";"7";"0"
"Administrator";"DotsPBIReports";"View";"1";"1";"184";"0";"0"
"Administrator";"DotsPBIReports";"Edit";"1";"1";"184";"1";"0"
"Administrator";"DotsPBIReports";"Delete";"1";"1";"184";"2";"0"
"Administrator";"DotsPBIReports";"Create";"1";"1";"184";"7";"0"
"Administrator";"Dropbox Destinations";"View";"1";"1";"185";"0";"0"
"Administrator";"Dropbox Destinations";"Edit";"1";"1";"185";"1";"0"
"Administrator";"Dropbox Destinations";"Delete";"1";"1";"185";"2";"0"
"Administrator";"Dropbox Destinations";"Create";"1";"1";"185";"7";"0"
"Administrator";"EmailTemplates";"View";"1";"1";"112";"0";"0"
"Administrator";"EmailTemplates";"Edit";"1";"1";"112";"1";"0"
"Administrator";"EmailTemplates";"Delete";"1";"1";"112";"2";"0"
"Administrator";"EmailTemplates";"Create";"1";"1";"112";"7";"0"
"Administrator";"Faq";"View";"1";"1";"15";"0";"0"
"Administrator";"Faq";"Edit";"1";"1";"15";"1";"0"
"Administrator";"Faq";"Delete";"1";"1";"15";"2";"0"
"Administrator";"Faq";"Create";"1";"1";"15";"7";"0"
"Administrator";"FBookkeeping";"View";"1";"1";"94";"0";"0"
"Administrator";"FBookkeeping";"Edit";"1";"1";"94";"1";"0"
"Administrator";"FBookkeeping";"Delete";"1";"1";"94";"2";"0"
"Administrator";"FBookkeeping";"Create";"1";"1";"94";"7";"0"
"Administrator";"FCorectingInvoice";"View";"1";"1";"107";"0";"0"
"Administrator";"FCorectingInvoice";"Edit";"1";"1";"107";"1";"0"
"Administrator";"FCorectingInvoice";"Delete";"1";"1";"107";"2";"0"
"Administrator";"FCorectingInvoice";"Create";"1";"1";"107";"7";"0"
"Administrator";"FInvoice";"View";"1";"1";"95";"0";"0"
"Administrator";"FInvoice";"Edit";"1";"1";"95";"1";"0"
"Administrator";"FInvoice";"Delete";"1";"1";"95";"2";"0"
"Administrator";"FInvoice";"Create";"1";"1";"95";"7";"0"
"Administrator";"FInvoiceCost";"View";"1";"1";"115";"0";"0"
"Administrator";"FInvoiceCost";"Edit";"1";"1";"115";"1";"0"
