"module";"cvid";"viewname";"is_default";"is_editable";"is_for_widgets";"sequence";"created_by";"sort";"filter";"columns_list";"cvid";"viewname";"setdefault";"setmetrics";"entitytype";"status";"userid";"privileges";"featured";"sequence";"presence";"description";"sort";"color"
"BatchTasks";"180";"All";"1";"1";"0";"0";"adminmk";"{"createdtime":"DESC"}";"";"modifiedtime, createdtime, batch_task_name, mod_name, item, batch_task_type, send_to_dropbox, batch_task_status, batch_error";"180";"All";"1";"0";"BatchTasks";"3";"1";"1";"0";"0";"0";"";"{"createdtime":"DESC"}";""
"BatchTasks";"181";"Pending Tasks Queue";"0";"1";"0";"1";"admindb";"{"createdtime":"DESC"}";""AND .batch_task_status e 'Pending'"";"createdtime, batch_task_name, mod_name, item, batch_task_type";"181";"Pending Tasks Queue";"0";"0";"BatchTasks";"1";"5";"1";"null";"1";"1";"";"{"createdtime":"DESC"}";""
"Calendar";"19";"All";"1";"0";"0";"null";"adminmk";"";"";"activitystatus, activitytype, subject, notes, case, date_start, due_date, assigned_user_id, createdtime";"19";"All";"1";"0";"Calendar";"0";"1";"0";"0";"null";"0";"";"";""
"Calendar";"266";"To do";"0";"1";"0";"1";"admindb";"null";""AND .activitytype e 'Task'"";"activitytype, subject, notes, case, date_start, due_date, assigned_user_id, createdtime";"266";"To do";"0";"0";"Calendar";"3";"5";"1";"null";"1";"1";"";"null";""
"Calendar";"267";"Hearing";"0";"1";"0";"2";"admindb";"null";""AND .activitytype e 'Hearing'"";"activitytype, subject, notes, case, date_start, due_date, assigned_user_id, createdtime";"267";"Hearing";"0";"0";"Calendar";"3";"5";"1";"null";"2";"1";"";"null";""
"Calendar";"268";"Pre-Trial Conference";"0";"1";"0";"3";"admindb";"null";""AND .activitytype e 'Pre-Trial Conference'"";"activitytype, subject, notes, case, date_start, due_date, assigned_user_id, createdtime";"268";"Pre-Trial Conference";"0";"0";"Calendar";"3";"5";"1";"null";"3";"1";"";"null";""
"Calendar";"271";"Meeting";"0";"1";"1";"4";"adminak";"null";""AND .activitytype e 'Meeting##Online meeting'"";"activitytype, subject, notes, case, date_start, due_date, assigned_user_id, createdtime";"271";"Meeting";"0";"1";"Calendar";"3";"7";"1";"null";"4";"1";"";"null";""
"Calendar";"272";"Call";"0";"1";"1";"5";"adminak";"null";""AND .activitytype e 'Call'"";"activitytype, subject, notes, case, date_start, due_date, assigned_user_id, createdtime";"272";"Call";"0";"1";"Calendar";"3";"7";"1";"null";"5";"1";"";"null";""
"CallHistory";"68";"All";"1";"1";"0";"null";"adminmk";"";"";"from_number, to_number, duration, start_time";"68";"All";"1";"0";"CallHistory";"0";"1";"1";"0";"null";"0";"null";"";""
"Campaigns";"29";"All";"1";"0";"0";"null";"adminmk";"";"";"campaignname, campaigntype, campaignstatus, expectedrevenue, closingdate, assigned_user_id";"29";"All";"1";"0";"Campaigns";"0";"1";"0";"0";"null";"0";"null";"";""
"CaseHandlers";"175";"All";"1";"1";"0";"0";"adminmk";"{"case_handler_name":"ASC"}";"";"case_handler_name, smtp, test_mailbox, email_header, email_footer, createdtime, modifiedtime";"175";"All";"1";"0";"CaseHandlers";"3";"1";"1";"0";"0";"0";"";"{"case_handler_name":"ASC"}";""
"Cases";"169";"All";"1";"1";"1";"0";"adminmk";"{"createdtime":"DESC"}";"";"status_age, type_of_claim, case_id, insured, claim_number, policy_number, provider, court, insurance_company, total_bill_amount, adjusted_face_value, hurdle, purchase_price, total_collections, total_balance, case_manager, attorney, ho_law_firm, ho_attorney, stage, status, status_date, final_status, first_notice_of_loss, lock_automation, modifiedtime, createdtime";"169";"All";"1";"1";"Cases";"3";"1";"1";"0";"0";"0";"";"{"createdtime":"DESC"}";"#B71C1C"
"Cases";"210";"Stage-Status";"0";"1";"0";"1";"adminak";"null";"";"ho_attorney, insurance_company, insurance_company_email, status_age, case_id, insured, claim_number, case_number, stage, status, status_date";"210";"Stage-Status";"0";"0";"Cases";"1";"7";"1";"null";"1";"1";"";"null";""
"Cases";"217";"ll";"0";"1";"0";"2";"jose";"null";"";"type_of_claim, status";"217";"ll";"0";"0";"Cases";"1";"24";"1";"null";"2";"1";"";"null";""
"Cases";"239";"Custom1";"0";"1";"0";"3";"shantanu";"null";""AND .sc_case_ids ny ''"";"sc_case_ids, claim_number, case_id, court";"239";"Custom1";"0";"0";"Cases";"3";"11";"1";"null";"3";"1";"";"null";""
"Cases";"240";"Settlement Search";"0";"1";"0";"4";"renzo";"null";"";"case_id, insured, claim_number, policy_number, provider, insurance_company, case_manager, stage, status, status_date, settlement_af, principal_amount_settled, settlement_amount";"240";"Settlement Search";"0";"0";"Cases";"2";"37";"1";"null";"4";"1";"";"null";""
"Cases";"246";"Settlements";"0";"1";"1";"6";"admindb";"null";"";"case_id, insured, claim_number, policy_number, provider, insurance_company, case_manager, attorney, final_status, ls_current_status, stage, settlement_date, settlement_amount";"246";"Settlements";"0";"1";"Cases";"3";"5";"1";"null";"6";"1";"";"null";""
"Cases";"250";"Test filter";"0";"1";"0";"7";"adminak";"null";""OR": [ "AND .provider e 'YOU RESTORATIONS LLC'", "AND .stage e 'Complaint'", "AND": [ "OR .type_of_claim e 'HO'", "OR .type_of_claim e 'AOB'" ],  ], , "OR": [ "AND .provider e '407 Restoration Inc'" ], ";"provider, provider.provider_abbreviation, case_id, case_number, insured, date_of_loss, stage, status";"250";"Test filter";"0";"0";"Cases";"1";"7";"1";"null";"7";"1";"";"null";"#F06292"
"Cases";"281";"With attorney";"0";"1";"0";"8";"adminmk";"null";"";"attorney, case_id, insured, claim_number, policy_number, provider, insurance_company, case_manager, stage, status, status_date, final_status";"281";"With attorney";"0";"0";"Cases";"1";"1";"1";"null";"8";"1";"";"null";"#B71C1C"
"Cases";"299";"All test";"0";"1";"0";"9";"admindb";"null";""AND .type_of_claim e 'AOB'", "AND .ls_claim_balance h '8000'", "AND .ls_claim_balance m '30000'"";"type_of_claim, case_id, insured, claim_number, policy_number, provider, court, ls_portfolio_name, note, modifiedtime, insurance_company, case_manager, stage, status, status_date, final_status, first_notice_of_loss";"299";"All test";"0";"0";"Cases";"3";"5";"1";"null";"9";"1";"";"null";"#B71C1C"
"Cases";"301";"All2";"0";"1";"0";"10";"admindb";"null";"";"settlement_af, type_of_claim, case_id, createdtime, insured, claim_number, policy_number, provider, court, ls_portfolio_name, note, modifiedtime, insurance_company, case_manager, stage, status, status_date, final_status, first_notice_of_loss";"301";"All2";"0";"0";"Cases";"1";"5";"1";"null";"10";"1";"";"null";"#B71C1C"
"Cases";"308";"Open Cases by Attorney and Stage";"0";"1";"1";"5";"adminmk";"null";""AND .final_status e 'OPEN'"";"case_id, insured, claim_number, policy_number, provider, insurance_company, case_manager, attorney, final_status, ls_current_status, stage";"308";"Open Cases by Attorney and Stage";"0";"1";"Cases";"3";"1";"1";"null";"5";"1";"";"null";""
"Cases";"323";"Open Cases";"0";"1";"1";"41";"null";"null";""AND .final_status e 'OPEN'"";"status_age, type_of_claim, case_id, insured, claim_number, policy_number, provider, court, insurance_company, total_bill_amount, adjusted_face_value, hurdle, purchase_price, total_collections, total_balance, case_manager, attorney, ho_law_firm, ho_attorney, stage, status, status_date, final_status, first_notice_of_loss, lock_automation, modifiedtime";"323";"Open Cases";"0";"1";"Cases";"3";"0";"1";"null";"41";"1";"";"null";"#B71C1C"
"Cases";"510";"New open Cases entered (today+yesterday)";"0";"1";"1";"40";"null";"null";""AND .final_status e 'OPEN'", "AND": [ "OR .createdtime previousworkingday ''", "OR .createdtime today ''" ], ";"case_id, insured, type_of_claim, claim_number, policy_number, provider, insurance_company, ls_current_status, case_manager, stage, status, status_date, final_status";"510";"New open Cases entered (today+yesterday)";"0";"1";"Cases";"3";"0";"1";"null";"40";"1";"";"null";"#B71C1C"
"Cases";"528";"All - empty Similar Cases";"0";"1";"0";"42";"adminmk";"null";""AND .similar_cases y ''", "AND .lock_automation e '0'"";"case_id";"528";"All - empty Similar Cases";"0";"0";"Cases";"1";"1";"1";"null";"42";"1";"";"null";""
"Cases";"537";"last created";"0";"1";"0";"43";"adminak";"null";""AND .provider c 'asdf'"";"createdtime, case_id, claim_number";"537";"last created";"0";"0";"Cases";"1";"7";"1";"null";"43";"1";"";"null";""
"Cases";"541";"View Related Fields";"0";"1";"0";"44";"adminak";"null";"";"case_id, insured, insureds_address, insureds_email";"541";"View Related Fields";"0";"0";"Cases";"1";"7";"1";"null";"44";"1";"";"null";""
"Cases";"546";"DEB";"0";"1";"0";"46";"Deborah";"null";"";"case_id, type_of_claim, claim_number, case_number, provider, judge, assigned_user_id, insurance_company, attorney";"546";"DEB";"0";"0";"Cases";"3";"77";"1";"null";"46";"1";"";"null";"#9C27B0"
"Cases";"555";"Settlements - Test";"0";"1";"0";"47";"Preetham";"null";"";"attorney_fees_demand_letter, attorney, case_id, insured, claim_number, policy_number, provider, insurance_company, case_manager, final_status, ls_current_status, settlement_amount";"555";"Settlements - Test";"0";"0";"Cases";"1";"86";"1";"null";"47";"1";"";"null";""
"Cases";"557";"All - Insurednoemail";"0";"1";"1";"48";"Preetham";"null";""AND insured.e_mail c 'shantanu'"";"insured, insured.e_mail, status_age, type_of_claim, case_id, claim_number, policy_number, provider, court, insurance_company, total_bill_amount, adjusted_face_value, hurdle, purchase_price, total_collections, total_balance, case_manager, attorney, ho_law_firm, ho_attorney, stage, status, status_date, final_status, first_notice_of_loss, lock_automation, modifiedtime, createdtime";"557";"All - Insurednoemail";"0";"1";"Cases";"1";"86";"1";"null";"48";"1";"";"null";"#B71C1C"
"Cases";"560";"Case Manager - My Open Cases";"0";"1";"1";"49";"admindb";"null";""AND .final_status e 'OPEN'", "AND .case_manager om ''"";"status_age, type_of_claim, case_id, insured, claim_number, policy_number, provider, court, insurance_company, total_bill_amount, adjusted_face_value, hurdle, purchase_price, total_collections, total_balance, case_manager, attorney, ho_law_firm, ho_attorney, stage, status, status_date, final_status, first_notice_of_loss, lock_automation, modifiedtime";"560";"Case Manager - My Open Cases";"0";"1";"Cases";"3";"5";"1";"null";"49";"1";"";"null";"#B71C1C"
"Cases";"586";"All for Provider 1, Provider 2";"0";"1";"1";"50";"adminak";"null";""OR .provider e 'Provider 1'", "OR .provider e 'Provider 2'", "OR .provider_2 e 'Provider 1'", "OR .provider_2 e 'Provider 2'", "OR .provider_3 e 'Provider 1'", "OR .provider_3 e 'Provider 2'", "OR .provider_4 e 'Provider 1'", "OR .provider_4 e 'Provider 2'", "OR .provider_5 e 'Provider 1'", "OR .provider_5 e 'Provider 2'", "OR .providers c 'Provider 1'", "OR .providers c 'Provider 2'"";"status_age, type_of_claim, case_id, insured, claim_number, policy_number, provider, court, insurance_company, total_bill_amount, adjusted_face_value, hurdle, purchase_price, total_collections, total_balance, case_manager, attorney, ho_law_firm, ho_attorney, stage, status, status_date, final_status, first_notice_of_loss, lock_automation, modifiedtime, createdtime";"586";"All for Provider 1, Provider 2";"0";"1";"Cases";"3";"7";"1";"null";"50";"1";"";"null";"#B71C1C"
"Cases";"590";"Active Litigation";"0";"1";"1";"51";"adminak";"null";""AND .claim_number ny ''", "AND .final_status e 'OPEN'", "AND .settlement_status y ''", "AND .status k 'FIGA'", "AND .status k 'Paid'", "AND .status k 'settled'"";"case_manager, case_id, type_of_claim, provider, insured, insurance_company, case_number, final_status, attorney, opposing_counsel, status, court, case_age";"590";"Active Litigation";"0";"1";"Cases";"3";"7";"1";"null";"51";"1";"";"null";""
"Cases";"594";"All - 10 day";"0";"1";"1";"52";"Preetham";"null";""AND .10_day_demand_sent ny ''"";"10_day_demand_sent, status_age, type_of_claim, case_id, insured, claim_number, policy_number, provider, court, insurance_company, total_bill_amount, adjusted_face_value, hurdle, purchase_price, total_collections, total_balance, case_manager, attorney, ho_law_firm, ho_attorney, stage, status, status_date, final_status, first_notice_of_loss, lock_automation, modifiedtime, createdtime";"594";"All - 10 day";"0";"1";"Cases";"1";"86";"1";"null";"52";"1";"";"null";"#B71C1C"
"Cases";"596";"Aga";"0";"1";"0";"53";"akutowska";"null";"";"case_id, type_of_claim, claim_number, case_number";"596";"Aga";"0";"0";"Cases";"3";"44";"1";"null";"53";"1";"";"null";""
"Cases";"598";"All - test";"0";"1";"1";"54";"Preetham";"null";"";"status_age, type_of_claim, case_id, insured, claim_number, policy_number, provider, court, insurance_company, total_bill_amount, adjusted_face_value, hurdle, purchase_price, total_collections, total_balance, case_manager, attorney, ho_law_firm, ho_attorney, stage, status, status_date, final_status, first_notice_of_loss, lock_automation, modifiedtime, createdtime";"598";"All - test";"0";"1";"Cases";"3";"86";"1";"null";"54";"1";"";"null";"#B71C1C"
"Cases";"668";"bonus paid";"0";"1";"0";"55";"adminak";"null";"";"case_id, bonus_paid_invoices, bonus_paid_ho_rebuild";"668";"bonus paid";"0";"0";"Cases";"1";"7";"1";"null";"55";"1";"";"null";""
"CFixedAssets";"106";"All";"1";"1";"0";"0";"adminmk";"";"";"subject, fixed_assets_type, number, fixed_assets_status, createdtime, assigned_user_id";"106";"All";"1";"0";"CFixedAssets";"0";"1";"1";"0";"0";"0";"";"";""
"CInternalTickets";"107";"All";"1";"1";"0";"0";"adminmk";"";"";"cinternaltickets_no, subject, internal_tickets_status, assigned_user_id, shownerid, modifiedtime, createdtime";"107";"All";"1";"0";"CInternalTickets";"0";"1";"1";"0";"0";"0";"";"";""
"CInternalTickets";"117";"Open";"0";"1";"0";"1";"adminmk";"";""AND .internal_tickets_status n 'PLL_CANCELLED##PLL_ACCEPTED'"";"cinternaltickets_no, subject, internal_tickets_status, assigned_user_id, shownerid, modifiedtime, createdtime";"117";"Open";"0";"0";"CInternalTickets";"1";"1";"1";"null";"1";"1";"";"";""
"ClaimCollections";"192";"All";"1";"1";"0";"0";"adminmk";"null";"";"claim_collection_name, assigned_value, assigned_below_hurdle, assigned_refundable_reserve, assigned_limit_reserve, collection.payment_date, disbursed_date, collection, portfolio, claim, collection.case";"192";"All";"1";"0";"ClaimCollections";"3";"1";"1";"0";"0";"0";"";"null";""
"ClaimCollections";"576";"All-Claim";"0";"1";"0";"1";"shantanu";"null";"";"claim.claim_id, claim_collection_name, assigned_value, assigned_below_hurdle, assigned_refundable_reserve, assigned_limit_reserve, collection.payment_date, disbursed_date, collection, portfolio, claim, collection.case";"576";"All-Claim";"0";"0";"ClaimCollections";"3";"11";"1";"null";"1";"1";"";"null";""
"ClaimCollections";"580";"ILLEGAL DATA: Deleted Collection in Claim Collection";"0";"1";"1";"2";"adminak";"null";""AND .collection y ''"";"claim_collection_name, assigned_value, assigned_below_hurdle, assigned_refundable_reserve, assigned_limit_reserve, disbursed_date, collection, portfolio, portfolio_purchase, claim, collection.case";"580";"ILLEGAL DATA: Deleted Collection in Claim Collection";"0";"1";"ClaimCollections";"3";"7";"1";"null";"2";"1";"";"null";""
"ClaimCollections";"655";"Test A-4";"0";"1";"0";"3";"Antuane";"null";"";"claim_collection_name, portfolio";"655";"Test A-4";"0";"0";"ClaimCollections";"1";"104";"1";"null";"3";"1";"";"null";""
"ClaimedInvoices";"157";"All";"1";"1";"1";"0";"---";"null";"";"claim, claim.claim_number, claim.insured, claim.portfolio, claim.portfolio_purchase, portfolio_purchase, number, claimed_invoice_name, estimate_amount, invoice_value, invoice_date, prior_collections, overhead_and_profit, adjustment, adjusted_invoice_value, special_purchase_price, purchase_price, type_of_job, types_of_services";"157";"All";"1";"1";"ClaimedInvoices";"3";"18";"1";"0";"0";"0";"";"null";""
"ClaimedInvoices";"159";"Onboarding";"0";"1";"1";"1";"---";"null";"";"claim.claim_id, claim.provider, claim.portfolio, claim.claim_number, claim.onboarding_status, claim.assigned_user_id, claim.requires_attention, claim.similar_claims, claim.type_of_claim, claim.county, claim.insured, claim.policy_number, claim.insurance_company, claim.insurance_company_email, claim.insurance_policy_uploaded, claim.insurance_shared, claim.insurance_shared_notes, claim.insurance_policy_details, claim.policy_valid_from, claim.policy_valid_to, claim.date_of_loss, claim.date_of_service, claim.type_of_job, claim.types_of_services, claim.cause_of_loss, claim.pre_attorney_name, claim.pre_litigation_status, claim.onb_comments, claim.claim_underwriter, claim.claim_acceptant, claim.onb_street, claim.onb_city, claim.onb_zip, claim.state, claim.onb_claim_number, claim.onb_policy_number, claim.onb_email, claim.client_signature, claim.home_owner_signature, claim.onb_date_of_loss, claim.aob_date, claim.date_of_first_notification, claim.days_apart_dofn_aob, claim.dates_verified, claim.per_unit_cost_estimate, claim.roof_area, claim.report_with_pics, claim.dry_logs, claim.need_labs, claim.denial_reason, claim.onb_others, claim.insurance_company_insured_comm, claim.onb_warnings, claim.onb_warning_to_acceptant, claim.total_bill_amount, claim.prior_collections, claim.adjustments, claim.adjusted_face_value, claim.note, claim.lock_automation, claim.createdtime, claim.modifiedtime, claimed_invoice_name, invoice_date, estimate_amount, invoice_value, prior_collections, overhead_and_profit, type_of_job, types_of_services, adjustment, adjusted_invoice_value, special_purchase_price, purchase_price";"159";"Onboarding";"0";"1";"ClaimedInvoices";"3";"18";"1";"null";"1";"1";"";"null";""
"ClaimedInvoices";"222";"Onboarding - Open";"0";"1";"1";"2";"---";"null";""AND claim.onboarding_status e 'Pending Underwriting##In Underwriting##Pending Approval'"";"claim.claim_id, claim.provider, claim.portfolio, claim.claim_number, claim.onboarding_status, claim.assigned_user_id, claim.requires_attention, claim.similar_claims, claim.type_of_claim, claim.county, claim.insured, claim.policy_number, claim.insurance_company, claim.insurance_company_email, claim.insurance_policy_uploaded, claim.insurance_shared, claim.insurance_shared_notes, claim.insurance_policy_details, claim.policy_valid_from, claim.policy_valid_to, claim.date_of_loss, claim.date_of_service, claim.type_of_job, claim.types_of_services, claim.cause_of_loss, claim.pre_attorney_name, claim.pre_litigation_status, claim.onb_comments, claim.claim_underwriter, claim.claim_acceptant, claim.onb_street, claim.onb_city, claim.onb_zip, claim.state, claim.onb_claim_number, claim.onb_policy_number, claim.onb_email, claim.client_signature, claim.home_owner_signature, claim.onb_date_of_loss, claim.aob_date, claim.date_of_first_notification, claim.days_apart_dofn_aob, claim.dates_verified, claim.per_unit_cost_estimate, claim.roof_area, claim.report_with_pics, claim.dry_logs, claim.need_labs, claim.denial_reason, claim.onb_others, claim.insurance_company_insured_comm, claim.onb_warnings, claim.onb_warning_to_acceptant, claim.total_bill_amount, claim.prior_collections, claim.adjustments, claim.adjusted_face_value, claim.note, claim.lock_automation, claim.createdtime, claim.modifiedtime, claimed_invoice_name, invoice_date, estimate_amount, invoice_value, prior_collections, overhead_and_profit, type_of_job, types_of_services, adjustment, adjusted_invoice_value, special_purchase_price, purchase_price";"222";"Onboarding - Open";"0";"1";"ClaimedInvoices";"3";"18";"1";"null";"2";"1";"";"null";""
"ClaimedInvoices";"241";"UW REVISION - Invoices segregatedd";"0";"1";"1";"3";"luis-claimpay";"null";"";"claim.claim_id, claim.provider, claim.portfolio, claim.insurance_company, claim.onboarding_status, claim.insured, claim.requires_attention, claim.onb_warnings, claim.onb_warning_to_acceptant, claim.onb_comments, claim.onb_street, claim.onb_city, claim.state, claim.onb_zip, claim.onb_policy_number, claim.onb_claim_number, claim.onb_email, claim.per_unit_cost_estimate, claim.home_owner_signature, claim.client_signature, claim.onb_date_of_loss, claim.aob_date, claim.date_of_first_notification, claim.days_apart_dofn_aob, claimed_invoice_name, invoice_date, claim.roof_area, invoice_value, overhead_and_profit, adjustment, adjusted_invoice_value, claim.report_with_pics, claim.dry_logs, claim.need_labs, claim.onb_others, claim.policy_valid_from, claim.policy_valid_to, claim.denial_reason";"241";"UW REVISION - Invoices segregatedd";"0";"1";"ClaimedInvoices";"3";"22";"1";"null";"3";"1";"";"null";""
"ClaimedInvoices";"277";"test";"0";"1";"0";"4";"shantanu";"null";"";"createdtime, assigned_user_id";"277";"test";"0";"0";"ClaimedInvoices";"1";"11";"1";"null";"4";"1";"";"null";""
"ClaimedInvoices";"279";"ILLEGAL DATA: Unassigned Invoices";"0";"1";"0";"6";"adminak";"null";""AND .claim e '\'"";"claim, claim.claim_number, claim.insured, claim.portfolio, claim.portfolio_purchase, portfolio_purchase, number, claimed_invoice_name, estimate_amount, invoice_value, invoice_date, prior_collections, overhead_and_profit, adjustment, adjusted_invoice_value, purchase_price, type_of_job, types_of_services";"279";"ILLEGAL DATA: Unassigned Invoices";"0";"0";"ClaimedInvoices";"3";"7";"1";"null";"6";"1";"";"null";""
"ClaimedInvoices";"300";"ILLEGAL DATA: inconsistent Portfolio Purchase";"0";"1";"0";"7";"admindb";"null";""AND .portfolio_purchase rne 'portfolio_purchase:Claims:claim'"";"claim, claim.claim_number, claim.insured, claim.portfolio, claim.portfolio_purchase, portfolio_purchase, number, claimed_invoice_name, estimate_amount, invoice_value, invoice_date, prior_collections, overhead_and_profit, adjustment, adjusted_invoice_value, purchase_price, type_of_job, types_of_services";"300";"ILLEGAL DATA: inconsistent Portfolio Purchase";"0";"0";"ClaimedInvoices";"3";"5";"1";"null";"7";"1";"";"null";""
"ClaimedInvoices";"591";"All - KK";"0";"1";"1";"8";"adminkk";"null";"";"claim.provider, claim, claim.claim_number, claim.insured, claim.portfolio, claim.portfolio_purchase, portfolio_purchase, number, claimed_invoice_name, estimate_amount, invoice_value, invoice_date, prior_collections, overhead_and_profit, adjustment, adjusted_invoice_value, special_purchase_price, purchase_price, type_of_job, types_of_services";"591";"All - KK";"0";"1";"ClaimedInvoices";"1";"8";"1";"null";"8";"1";"";"null";""
